Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
05-Jan-2024,EQ,1687.15,1704.90,1668.10,1690.85,1679.00,1682.20,1679.44,1757.50,1460.25,15944735,26778251761.45,426162
04-Jan-2024,EQ,1678.00,1694.95,1670.70,1672.90,1690.85,1690.85,1681.98,1757.50,1460.25,13367028,22483129792.50,335934
03-Jan-2024,EQ,1702.00,1704.70,1668.95,1699.10,1674.60,1672.90,1681.27,1757.50,1460.25,14194881,23865412912.55,426015
02-Jan-2024,EQ,1698.80,1702.80,1688.70,1698.10,1697.50,1699.10,1697.43,1757.50,1460.25,14621046,24818149211.10,334886
01-Jan-2024,EQ,1706.00,1709.15,1692.00,1709.25,1692.90,1698.10,1701.52,1757.50,1460.25,7119843,12114568489.30,258349
29-Dec-2023,EQ,1697.00,1714.90,1696.00,1705.25,1708.65,1709.25,1707.51,1757.50,1460.25,12505713,21353650105.25,264143
28-Dec-2023,EQ,1709.30,1721.40,1702.00,1703.30,1708.85,1705.25,1711.26,1757.50,1460.25,22038235,37713047859.00,423062
27-Dec-2023,EQ,1681.50,1706.50,1678.60,1682.45,1702.10,1703.30,1695.87,1757.50,1460.25,13504539,22901880536.75,321373
26-Dec-2023,EQ,1673.25,1685.95,1668.55,1670.85,1684.10,1682.45,1678.46,1757.50,1460.25,9022928,15144582177.45,243596
22-Dec-2023,EQ,1683.60,1685.90,1667.10,1686.70,1668.70,1670.85,1675.74,1757.50,1460.25,24289425,40702711527.50,450284
21-Dec-2023,EQ,1657.00,1689.75,1650.25,1657.00,1685.00,1686.70,1672.87,1757.50,1460.25,18294620,30604491502.45,385913
20-Dec-2023,EQ,1658.00,1668.95,1644.45,1652.90,1644.75,1657.00,1662.23,1757.50,1460.25,17116260,28451245154.05,415287
19-Dec-2023,EQ,1650.00,1658.65,1644.05,1655.70,1650.50,1652.90,1651.23,1757.50,1460.25,12004223,19821702426.65,257002
18-Dec-2023,EQ,1660.70,1664.70,1650.95,1656.55,1652.50,1655.70,1657.78,1757.50,1460.25,9007377,14932277614.85,258215
15-Dec-2023,EQ,1650.00,1668.00,1646.60,1650.15,1656.05,1656.55,1655.35,1757.50,1460.25,69418565,114912065107.80,420832
14-Dec-2023,EQ,1646.00,1658.95,1645.00,1630.90,1650.45,1650.15,1651.03,1757.50,1460.25,17586183,29035347300.80,345239
13-Dec-2023,EQ,1632.45,1636.00,1615.10,1634.60,1633.80,1630.90,1628.14,1757.50,1460.25,14673457,23890410498.90,352315
12-Dec-2023,EQ,1654.20,1656.25,1631.85,1651.00,1634.45,1634.60,1645.41,1757.50,1460.25,18290738,30095821186.80,386854
11-Dec-2023,EQ,1650.05,1663.70,1647.00,1653.20,1650.00,1651.00,1653.00,1757.50,1460.25,11593810,19164609234.90,376768
08-Dec-2023,EQ,1630.45,1655.00,1630.45,1630.45,1653.00,1653.20,1648.92,1757.50,1460.25,16864019,27807418190.95,372167
07-Dec-2023,EQ,1625.00,1634.00,1616.20,1627.80,1630.50,1630.45,1628.48,1757.50,1460.25,10225193,16651513307.40,219921
06-Dec-2023,EQ,1638.45,1638.45,1616.65,1623.70,1626.30,1627.80,1627.41,1757.50,1460.25,19306530,31419573681.05,340998
05-Dec-2023,EQ,1636.50,1639.00,1616.50,1609.40,1622.00,1623.70,1626.07,1757.50,1460.25,26115410,42465536275.85,397106
04-Dec-2023,EQ,1588.00,1612.00,1573.65,1555.40,1609.15,1609.40,1592.26,1757.50,1460.25,25331228,40333820531.20,441679
01-Dec-2023,EQ,1557.90,1565.75,1552.10,1558.80,1552.35,1555.40,1559.16,1757.50,1460.25,11076768,17270479586.70,299721
30-Nov-2023,EQ,1569.15,1572.45,1542.15,1559.15,1556.60,1558.80,1555.55,1757.50,1460.25,34745720,54048690749.35,352886
29-Nov-2023,EQ,1533.90,1563.00,1533.00,1528.65,1560.30,1559.15,1547.46,1757.50,1460.25,17021244,26339738845.55,314977
